1,Wii Sports,1,2006,1,1,82.74
2,Super Mario Bros.,2,1985,2,1,40.24
3,Mario Kart Wii,1,2008,3,1,35.82
4,Wii Sports Resort,1,2009,1,1,33
5,Pokemon Red/Pokemon Blue,3,1996,4,1,31.37
6,Tetris,3,1989,5,1,30.26
7,New Super Mario Bros.,4,2006,2,1,30.01
8,Wii Play,1,2006,0,1,29.02
9,New Super Mario Bros. Wii,1,2009,2,1,28.62
10,Duck Hunt,2,1984,6,1,28.31
11,Nintendogs,4,2005,7,1,24.76
12,Mario Kart DS,4,2005,3,1,23.42
13,Pokemon Gold/Pokemon Silver,3,1999,4,1,23.1
14,Wii Fit,1,2007,1,1,22.72
15,Wii Fit Plus,1,2009,1,1,22
16,Kinect Adventures!,5,2010,0,2,21.82
17,Grand Theft Auto V,6,2013,8,3,21.4
18,Grand Theft Auto: San Andreas,7,2004,8,3,20.81
19,Super Mario World,8,1990,2,1,20.61
20,Brain Age: Train Your Brain in Minutes a Day,4,2005,0,1,20.22
21,Pokemon Diamond/Pokemon Pearl,4,2006,4,1,18.36
22,Super Mario Land,3,1989,2,1,18.14
23,Super Mario Bros. 3,2,1988,2,1,17.28
24,Grand Theft Auto V,5,2013,8,3,16.38
25,Grand Theft Auto: Vice City,7,2002,8,3,16.15
26,Pokemon Ruby/Pokemon Sapphire,9,2002,4,1,15.85
27,Pokemon Black/Pokemon White,4,2010,4,1,15.32
28,Brain Age 2: More Training in Minutes a Day,4,2005,5,1,15.3
29,Gran Turismo 3: A-Spec,7,2001,3,4,14.98
30,Call of Duty: Modern Warfare 3,5,2011,6,5,14.76
31,Pokémon Yellow: Special Pikachu Edition,3,1998,4,1,14.64
32,Call of Duty: Black Ops,5,2010,6,5,14.64
33,Pokemon X/Pokemon Y,2,2013,4,1,14.35
34,Call of Duty: Black Ops 3,11,2015,6,5,14.24
35,Call of Duty: Black Ops II,6,2012,6,5,14.03
36,Call of Duty: Black Ops II,5,2012,6,5,13.73
37,Call of Duty: Modern Warfare 2,5,2009,6,5,13.51
38,Call of Duty: Modern Warfare 3,6,2011,6,5,13.46
39,Grand Theft Auto III,7,2001,8,3,13.1
40,Super Smash Bros. Brawl,1,2008,9,1,13.04
41,Call of Duty: Black Ops,6,2010,6,5,12.73
42,Animal Crossing: Wild World,4,2005,7,1,12.27
43,Mario Kart 7,10,2011,3,1,12.21
44,Halo 3,5,2007,6,2,12.14
45,Grand Theft Auto V,11,2014,8,3,11.98
46,Pokemon Heart Gold/Pokemon Soul Silver,4,2009,8,1,11.9
47,Super Mario 64,12,1996,2,1,11.89
48,Gran Turismo 4,7,2004,3,4,11.66
49,Super Mario Galaxy,1,2007,2,1,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,10,2014,4,1,11.33
51,Super Mario Land 2: 6 Golden Coins,3,1992,10,1,11.18
52,Grand Theft Auto IV,5,2008,8,3,11.02
53,Gran Turismo,13,1997,3,4,10.95
54,Super Mario 3D Land,10,2011,2,1,10.79
55,Gran Turismo 5,6,2010,3,4,10.77
56,Call of Duty: Modern Warfare 2,6,2009,6,5,10.69
57,Grand Theft Auto IV,6,2008,8,3,10.57
58,Super Mario All-Stars,8,1993,2,1,10.55
59,Pokemon Fire Red/Pokemon Leaf Green,9,2004,4,1,10.49
60,Super Mario 64,4,2004,2,1,10.42
61,Just Dance 3,1,2011,0,6,10.26
62,Call of Duty: Ghosts,5,2013,6,5,10.21
63,Halo: Reach,5,2010,6,2,9.88
64,Mario Kart 64,12,1996,3,1,9.87
65,New Super Mario Bros. 2,10,2012,2,1,9.82
66,Halo 4,5,2012,6,2,9.76
67,Final Fantasy VII,13,1997,4,4,9.72
68,Call of Duty: Ghosts,6,2013,6,5,9.59
69,Just Dance 2,1,2010,0,6,9.52
70,Gran Turismo 2,13,1999,3,4,9.49
71,Call of Duty 4: Modern Warfare,5,2007,6,5,9.32
72,Donkey Kong Country,8,1994,2,1,9.3
73,Minecraft,5,2013,0,2,9.2
74,Animal Crossing: New Leaf,10,2012,7,1,9.09
75,Mario Party DS,4,2007,0,1,9.02
76,The Elder Scrolls V: Skyrim,5,2011,4,7,8.84
77,Super Mario Kart,8,1992,3,1,8.76
78,FIFA 16,11,2015,1,8,8.49
79,Wii Party,1,2010,0,1,8.49
80,Halo 2,14,2004,6,2,8.49
81,Mario Party 8,1,2007,0,1,8.42
82,Pokemon Black 2/Pokemon White 2,4,2012,4,1,8.33
83,FIFA Soccer 13,6,2012,8,8,8.24
84,The Sims 3,15,2009,7,8,8.11
85,Golden Eye 007,12,1997,6,1,8.09
86,Mario & Sonic at the Olympic Games,1,2007,1,9,8.06
87,Final Fantasy X,7,2001,4,4,8.05
88,Final Fantasy VIII,13,1999,4,10,7.86
89,Pokémon Platinum Version,4,2008,4,1,7.84
